,meeting_key,session_key,driver_number,lap_number,race_date,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,position,final_position,total_laps,lap_remaining,positions_to_gain,gain_per_lap
581,1141,7953,1,31,2023-03-05 00:00:00+00:00,31.04,42.464,23.927,232.0,250.0,False,97.431,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",298.0,1,1,57,27,0,0.0
582,1141,7953,31,30,2023-03-05 00:00:00+00:00,31.696,43.535,24.526,225.0,253.0,False,99.757,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048]",296.0,17,17,57,28,16,0.5714285714285714
583,1141,7953,27,30,2023-03-05 00:00:00+00:00,31.178,42.467,23.972,231.0,248.0,False,97.617,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2049, 2048]",,18,15,57,28,17,0.6071428571428571
584,1141,7953,11,31,2023-03-05 00:00:00+00:00,31.246,42.722,23.951,,245.0,False,97.919,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",301.0,2,2,57,27,1,0.037037037037037035
585,1141,7953,16,31,2023-03-05 00:00:00+00:00,31.444,43.121,24.181,,243.0,False,98.746,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",,3,3,57,27,2,0.07407407407407407
586,1141,7953,4,30,2023-03-05 00:00:00+00:00,31.235,42.354,24.016,,241.0,False,97.605,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",297.0,19,17,57,28,18,0.6428571428571429
587,1141,7953,55,31,2023-03-05 00:00:00+00:00,31.438,43.032,26.804,229.0,255.0,False,101.274,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",,4,4,57,27,3,0.1111111111111111
588,1141,7953,14,31,2023-03-05 00:00:00+00:00,31.257,42.663,24.089,,252.0,False,98.009,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",304.0,5,3,57,27,4,0.14814814814814814
589,1141,7953,44,31,2023-03-05 00:00:00+00:00,52.363,43.477,23.663,235.0,238.0,True,119.503,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2048, 2048, 2049, 2049]",219.0,6,5,57,27,5,0.18518518518518517
590,1141,7953,63,31,2023-03-05 00:00:00+00:00,31.353,43.015,26.667,232.0,259.0,False,101.035,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",304.0,7,7,57,27,6,0.2222222222222222
